cpf,name,mail,address,zip_code,phone
22578218863,João Silva,joão@email.com,"Rua A, 100",10000000,11994718158
18972711155,Maria Souza,maria@email.com,"Rua B, 101",10000100,11996561045
96436072333,Carlos Lima,carlos@email.com,"Rua C, 102",10000200,11997729730
30481579508,Ana Rocha,ana@email.com,"Rua D, 103",10000300,11999804375
36907632866,Paulo Reis,paulo@email.com,"Rua E, 104",10000400,11993958496
89277281149,Juliana Alves,juliana@email.com,"Rua F, 105",10000500,11999950681
58012526518,Bruno Costa,bruno@email.com,"Rua G, 106",10000600,11991131451
81849907267,Fernanda Dias,fernanda@email.com,"Rua H, 107",10000700,11994716214
22817056956,Rafael Gomes,rafael@email.com,"Rua I, 108",10000800,11997504022
73083846896,Larissa Pinto,larissa@email.com,"Rua J, 109",10000900,11992407501
79017152293,Lucas Martins,lucas@email.com,"Rua K, 110",10001000,11997292585
47757162466,Beatriz Fernandes,beatriz@email.com,"Rua L, 111",10001100,11998532603
77527242072,Gustavo Ramos,gustavo@email.com,"Rua M, 112",10001200,11998994710
64178112566,Amanda Vieira,amanda@email.com,"Rua N, 113",10001300,11992746236
81792618415,Felipe Barbosa,felipe@email.com,"Rua O, 114",10001400,11997420392
48856042758,Camila Castro,camila@email.com,"Rua P, 115",10001500,11991758585
88898807991,Thiago Pires,thiago@email.com,"Rua Q, 116",10001600,11993435859
38046863481,Vanessa Cardoso,vanessa@email.com,"Rua R, 117",10001700,11994127823
74837465274,Renato Duarte,renato@email.com,"Rua S, 118",10001800,11994763273
57643204205,Patrícia Lopes,patrícia@email.com,"Rua T, 119",10001900,11998242645
